property_id,window_days,be_present,be_total,be_rate,ctrl_present,ctrl_total,ctrl_rate,analysis_type,test_type,p_value,odds_ratio,effect_size,significant,be_freq_mean,ctrl_freq_mean,p_adjusted
Property_048,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_048,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999220777618001,0.8515026182657318,,False,567.0141843971631,665.8983451536643,1.0
Property_049,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_049,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.40474501001460034,1.0243153608137425,,False,2723.468085106383,2658.8179669030733,1.0
Property_050,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_050,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999975596804713,0.8480340183945875,,False,2127.248226950355,2508.446808510638,1.0
Property_051,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_051,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9331046201854843,0.9038626836460771,,False,484.7588652482269,536.3191489361702,1.0
Property_052,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_052,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9992007239770592,0.8970206619384264,,False,2792.3617021276596,3112.9290780141846,1.0
Property_053,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_053,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9986936283654415,0.9018001370492832,,False,3630.7304964539007,4026.0921985815603,1.0
Property_054,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_054,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999484127308939,0.8506447350328952,,False,4314.468085106383,5071.997635933806,1.0
Property_055,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_055,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.1322299568008764,1.070945324981973,,False,716.2624113475177,668.8132387706855,1.0
Property_056,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_056,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9836619669856557,0.927623311767655,,False,2020.872340425532,2178.548463356974,1.0
Property_057,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_057,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.8186763517731868,0.9777629187669307,,False,1213.3829787234042,1240.9787234042553,1.0
Property_058,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_058,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999999407497288,0.7759907414970036,,False,1325.1702127659576,1707.7139479905438,1.0
Property_059,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_059,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999996723312551,0.8127069228213675,,False,1006.2695035460993,1238.1702127659576,1.0
