year_month,rolling_corr,window,lag,risk_metric,social_indicator
2016-06,-0.434,12,4,warning_days,suicide
2016-07,-0.404,12,4,warning_days,suicide
2016-08,-0.3601,12,4,warning_days,suicide
2016-09,-0.4697,12,4,warning_days,suicide
2016-10,-0.4819,12,4,warning_days,suicide
2016-11,-0.4501,12,4,warning_days,suicide
2016-12,-0.3024,12,4,warning_days,suicide
2017-01,0.098,12,4,warning_days,suicide
2017-02,0.1117,12,4,warning_days,suicide
2017-03,0.2294,12,4,warning_days,suicide
2017-04,0.2584,12,4,warning_days,suicide
2017-05,-0.0345,12,4,warning_days,suicide
2017-06,-0.2246,12,4,warning_days,suicide
2017-07,-0.2429,12,4,warning_days,suicide
2017-08,-0.2436,12,4,warning_days,suicide
2017-09,-0.2255,12,4,warning_days,suicide
2017-10,-0.287,12,4,warning_days,suicide
2019-02,-0.4346,12,4,warning_days,suicide
2019-03,0.0416,12,4,warning_days,suicide
2019-04,0.1103,12,4,warning_days,suicide
2019-05,0.0653,12,4,warning_days,suicide
2019-06,0.0962,12,4,warning_days,suicide
2019-07,0.0647,12,4,warning_days,suicide
2019-08,0.0405,12,4,warning_days,suicide
2019-09,0.0383,12,4,warning_days,suicide
2019-10,-0.0,12,4,warning_days,suicide
2019-11,-0.0193,12,4,warning_days,suicide
2019-12,0.0015,12,4,warning_days,suicide
2020-01,0.0133,12,4,warning_days,suicide
2020-02,0.1788,12,4,warning_days,suicide
2020-03,0.1283,12,4,warning_days,suicide
2020-04,0.1314,12,4,warning_days,suicide
2020-05,0.1966,12,4,warning_days,suicide
2020-06,0.1877,12,4,warning_days,suicide
2020-07,0.4927,12,4,warning_days,suicide
2020-08,0.5187,12,4,warning_days,suicide
2020-09,0.2909,12,4,warning_days,suicide
2020-10,0.4456,12,4,warning_days,suicide
2020-11,0.348,12,4,warning_days,suicide
2020-12,0.3953,12,4,warning_days,suicide
2021-01,0.3153,12,4,warning_days,suicide
2021-02,0.299,12,4,warning_days,suicide
2021-03,0.1234,12,4,warning_days,suicide
2021-04,0.0504,12,4,warning_days,suicide
2021-05,0.0652,12,4,warning_days,suicide
2021-06,0.0483,12,4,warning_days,suicide
2021-07,-0.0718,12,4,warning_days,suicide
2021-08,-0.1495,12,4,warning_days,suicide
2021-09,-0.0579,12,4,warning_days,suicide
2021-10,-0.1287,12,4,warning_days,suicide
2021-11,-0.0054,12,4,warning_days,suicide
2021-12,-0.0166,12,4,warning_days,suicide
2022-01,0.4981,12,4,warning_days,suicide
2022-02,0.4897,12,4,warning_days,suicide
2022-03,0.5162,12,4,warning_days,suicide
2022-04,0.5284,12,4,warning_days,suicide
2022-05,0.495,12,4,warning_days,suicide
2022-06,0.279,12,4,warning_days,suicide
2022-07,0.3768,12,4,warning_days,suicide
2022-08,0.3984,12,4,warning_days,suicide
2022-09,0.4179,12,4,warning_days,suicide
2022-10,0.4656,12,4,warning_days,suicide
2022-11,-0.007,12,4,warning_days,suicide
2022-12,-0.0658,12,4,warning_days,suicide
2023-01,-0.1681,12,4,warning_days,suicide
2023-02,-0.61,12,4,warning_days,suicide
2023-03,-0.1091,12,4,warning_days,suicide
2023-04,0.1674,12,4,warning_days,suicide
2023-05,0.3236,12,4,warning_days,suicide
2023-06,0.067,12,4,warning_days,suicide
2023-07,-0.008,12,4,warning_days,suicide
2023-08,-0.0408,12,4,warning_days,suicide
2023-09,-0.0942,12,4,warning_days,suicide
2023-10,-0.0784,12,4,warning_days,suicide
2023-11,0.2636,12,4,warning_days,suicide
