year_month,risk_mean,risk_max,warning_days,n_days,Property_055_contrib_mean,Property_083_contrib_mean,Property_042_contrib_mean,Property_110_contrib_mean,Property_087_contrib_mean,Property_002_contrib_mean,Property_070_contrib_mean,Property_113_contrib_mean,Property_055_ratio_mean,Property_083_ratio_mean,Property_042_ratio_mean,Property_110_ratio_mean,Property_087_ratio_mean,Property_002_ratio_mean,Property_070_ratio_mean,Property_113_ratio_mean,Property_055_ratio_max,Property_083_ratio_max,Property_042_ratio_max,Property_110_ratio_max,Property_087_ratio_max,Property_002_ratio_max,Property_070_ratio_max,Property_113_ratio_max,consec_warning_months,risk_mean_delta,risk_mean_accel
2011-04,36.241,41.82,30,30,0.26244333333333336,0.0,0.0,0.15281,0.0,0.0,0.5051133333333333,0.21585666666666667,1.2942366666666667,0.0,0.0,1.4316466666666665,0.0,0.0,1.58921,1.43218,1.3433,0,0,1.8006,0,0,1.8271,1.5442,12,-10.83641935483871,-33.62276728110599
2011-05,17.517096774193547,27.28,13,31,0.058167741935483866,0.0,0.0,0.24108387096774195,0.0,0.0,0.2033741935483871,0.09906129032258064,1.0636935483870968,0.0,0.0,1.680974193548387,0.0,0.0,1.2372354838709678,1.1983451612903224,1.1817,0,0,2.2262,0,0,1.3939,1.3372,0,-18.723903225806453,-7.887483870967742
2011-06,32.37766666666667,38.53,30,30,0.23010333333333335,0.0,0.0,0.3112533333333333,0.0,0.0,0.23890333333333333,0.14256333333333335,1.2579766666666667,0.0,0.0,1.8791433333333332,0.0,0.0,1.2787,1.2854466666666666,1.3954,0,0,2.1812,0,0,1.3564,1.3359,1,14.860569892473123,33.584473118279575
2011-07,25.960645161290323,36.13,31,31,0.2232548387096774,0.0,0.0,0.10921612903225807,0.0,0.0,0.23940322580645162,0.14999677419354837,1.2503000000000002,0.0,0.0,1.308474193548387,0.0,0.0,1.2792709677419356,1.3003064516129033,1.3797,0,0,1.6415,0,0,1.3037,1.3357,2,-6.417021505376347,-21.27759139784947
2011-08,65.43709677419355,86.4,31,31,0.47360967741935484,0.0,0.0,0.5697161290322581,0.0,0.0,0.6301290322580645,0.32073225806451616,1.530967741935484,0.0,0.0,2.6092064516129034,0.0,0.0,1.7350258064516129,1.6421580645161291,1.684,0,0,3.5893,0,0,2.0262,1.8218,3,39.476451612903226,45.89347311827957
2011-09,37.31333333333334,52.81,30,30,0.3460733333333333,0.0,0.0,0.16729,0.0,0.0,0.30518666666666666,0.13806666666666667,1.38798,0.0,0.0,1.4725266666666668,0.0,0.0,1.3560033333333334,1.2764300000000002,1.509,0,0,1.8802,0,0,1.5787,1.4612,4,-28.12376344086021,-67.60021505376343
2011-10,46.788709677419355,72.72,31,31,0.3544290322580645,0.0,0.0,0.1561032258064516,0.0,0.0,0.3815677419354839,0.16801290322580645,1.397358064516129,0.0,0.0,1.44,0.0,0.0,1.4451032258064516,1.336374193548387,1.6598,0,0,2.2554,0,0,1.632,1.5345,5,9.475376344086015,37.599139784946225
2011-11,33.779333333333334,44.63,30,30,0.21993000000000001,0.0,0.0,0.20748666666666665,0.0,0.0,0.2934533333333333,0.12308000000000001,1.24655,0.0,0.0,1.58608,0.0,0.0,1.3423066666666665,1.24643,1.3412,0,0,2.0738,0,0,1.4058,1.2788,6,-13.009376344086022,-22.484752688172037
2011-12,39.420967741935485,45.14,31,31,0.23622258064516127,0.0,0.0,0.21123548387096774,0.0,0.0,0.3596967741935484,0.14298709677419355,1.264841935483871,0.0,0.0,1.5966774193548388,0.0,0.0,1.4195806451612902,1.2862774193548387,1.3252,0,0,1.9557,0,0,1.4633,1.3293,7,5.641634408602151,18.651010752688173
2012-01,29.344838709677422,38.1,24,31,0.2201774193548387,0.0,0.0,0.07498387096774194,0.0,0.0,0.2889032258064516,0.08515806451612903,1.2468451612903226,0.0,0.0,1.1819645161290324,0.0,0.0,1.3370129032258065,1.1705096774193549,1.3693,0,0,1.4943,0,0,1.4542,1.2876,8,-10.076129032258063,-15.717763440860214
2012-02,20.525172413793104,26.97,16,29,0.1250413793103448,0.0,0.0,0.02129310344827586,0.0,0.0,0.233648275862069,0.07309655172413794,1.140193103448276,0.0,0.0,1.049803448275862,0.0,0.0,1.2725413793103448,1.146351724137931,1.1895,0,0,1.2092,0,0,1.3553,1.2445,9,-8.819666295884318,1.256462736373745
2012-03,14.505161290322581,21.43,3,31,0.057574193548387095,0.0,0.0,0.0729258064516129,0.0,0.0,0.15468709677419354,0.049680645161290324,1.0638580645161289,0.0,0.0,1.2015032258064517,0.0,0.0,1.1804419354838709,1.0994709677419354,1.1535,0,0,1.6322,0,0,1.2413,1.1294,0,-6.020011123470523,2.799655172413795
2012-04,11.848666666666666,16.36,0,30,0.005,0.0,0.0,0.17582333333333333,0.0,0.0,0.12829666666666667,0.06702333333333334,0.9631066666666667,0.0,0.0,1.4966233333333332,0.0,0.0,1.14967,1.13418,1.0328,0,0,1.6866,0,0,1.1906,1.1672,0,-2.656494623655915,3.363516499814608
