year_month,risk_mean,risk_max,risk_std,n_days,warning_days
2020-10,5.814516129032258,18.71,5.68270172758796,31,1
2020-11,12.241000000000001,18.67,2.416141623503802,30,1
2020-12,10.848064516129034,14.02,2.1055884677920647,31,0
2021-01,13.930645161290323,24.15,5.902341306907437,31,9
2021-02,14.9975,24.91,7.664093106698806,28,11
2021-03,6.5683870967741935,9.92,2.071252594887442,31,0
2021-04,9.923,11.8,0.6179060859341677,30,0
2021-05,9.019354838709678,11.66,1.6718032888348864,31,0
2021-06,7.472666666666667,9.6,0.7109824835774954,30,0
2021-07,8.928064516129032,11.32,1.1793145448517646,31,0
2021-08,6.203548387096775,10.41,1.9899741177330208,31,0
2021-09,4.614000000000001,6.49,1.223053273714938,30,0
2021-10,7.911935483870968,11.31,2.6471474198400045,31,0
2021-11,16.04,20.3,4.008680236858424,30,14
2021-12,13.926451612903225,16.61,1.453498190314426,31,0
2022-01,16.59258064516129,22.39,2.611384010752327,31,5
2022-02,11.1675,23.59,5.882311604702254,28,5
2022-03,16.46741935483871,23.16,4.352721729172784,31,11
2022-04,17.18166666666667,20.58,2.108107638639915,30,11
2022-05,17.395806451612902,21.19,2.132377037007525,31,10
2022-06,22.481333333333332,42.87,11.052447297515958,30,15
2022-07,39.63290322580645,45.29,3.268711462282337,31,31
2022-08,18.654516129032256,36.01,9.470274138485355,31,14
2022-09,18.55666666666667,34.0,5.29998395139622,30,11
2022-10,40.21387096774193,48.9,4.321586651080328,31,31
2022-11,39.19133333333333,51.72,8.29734553869524,30,30
2022-12,32.74967741935484,36.05,1.6766543747812541,31,31
2023-01,26.00258064516129,37.68,9.1306874395239,31,23
2023-02,17.041428571428572,23.08,2.5846007131781197,28,6
2023-03,18.60741935483871,26.06,3.018152821116403,31,10
2023-04,19.830666666666666,26.3,3.6665157126711394,30,19
2023-05,12.434193548387096,16.7,1.9691838820410656,31,0
2023-06,7.095,10.95,1.8341732140968428,30,0
2023-07,11.17225806451613,12.72,0.7131746381610397,31,0
2023-08,8.749677419354839,11.54,1.5485788837317203,31,0
2023-09,14.193000000000001,16.63,1.7024690994208254,30,0
2023-10,12.930967741935484,27.8,7.923020617095776,31,8
2023-11,21.505,28.67,4.808091420038545,30,21
2023-12,18.096774193548388,23.33,3.216347190107408,31,14
2024-01,17.106451612903225,22.09,1.854117127524754,31,6
2024-02,12.74896551724138,20.69,4.550603841271735,29,7
2024-03,11.259677419354839,13.01,1.1800098414023725,31,0
2024-04,9.459,11.76,1.4829312770367327,30,0
2024-05,5.137419354838709,13.34,3.730704104894889,31,0
2024-06,6.021333333333333,11.19,2.216571962370682,30,0
2024-07,12.183548387096774,14.09,1.3528181656258573,31,0
2024-08,16.025806451612905,25.1,5.801451412760745,31,9
2024-09,13.037,23.09,6.67379546150981,30,10
2024-10,10.686451612903225,21.11,4.784845207100641,31,2
2024-11,20.738999999999997,22.21,1.0051431532974269,30,30
2024-12,48.493870967741934,68.57,15.315401546029703,31,31
2025-01,33.60258064516129,45.23,8.449887166008764,31,29
2025-02,15.776071428571429,28.89,8.414252168212249,28,10
2025-03,24.411290322580644,32.34,4.418850334597209,31,29
2025-04,43.43866666666667,50.54,6.2669641406529415,30,30
2025-05,16.570967741935487,33.43,6.879003975789279,31,11
2025-06,22.424666666666667,33.49,5.177516202098119,30,21
2025-07,29.038709677419355,39.22,6.917151505225012,31,31
2025-08,20.57193548387097,24.41,2.6806223398741325,31,20
2025-09,26.59466666666667,29.79,2.9307074976499483,30,30
2025-10,19.903548387096773,47.6,10.355120327125482,31,14
2025-11,45.006,49.69,2.7272059720147857,30,30
2025-12,43.96387096774194,49.33,3.552987172712893,31,31
2026-01,37.890967741935484,52.75,7.356962396188029,31,31
2026-02,50.26107142857143,63.74,12.307730584590207,28,28
2026-03,36.011,61.17,15.584876893250643,10,9
